Unnamed: 0,Item,Pronunciation,Phonology,Frequency,Length
14240,rearm,R IY AA R M,riarm,0.16,5
1417,bead,B IY D,bid,1.12,3
12125,outcast,AW T K AE S T,WtkAst,1.31,6
15909,showcase,SH OW K EY S,Sokes,0.61,5
6725,finding,F AY N D IH NG,fYndIG,37.94,6
10563,manservant,M AE N S AH R V AH N T,mAnsxrvxnt,0.29,10
7982,handsomest,HH AE N S AH M AH S T,hAnsxmxst,0.75,9
17871,tidal,T AY D AH L,tYdxl,1.04,5
12261,overtime,OW V AH R T AY M,ovxrtYm,6.24,7
5717,elder,EH L D AH R,Eldxr,7.04,5
12511,particularly,P AH R T IH K Y AH L AH R L IY,pxrtIkyxlxrli,18.55,13
5656,editing,EH D IH T IH NG,EdItIG,2.12,6
3479,compulsory,K AH M P AH L S AH R IY,kxmpxlsxri,0.73,10
1701,birdie,B AH R D IY,bxrdi,4.96,5
489,aloneness,AH L OW N N EH S,xlonnEs,0.02,7
12289,owner,OW N AH R,onxr,23.24,4
9392,intestine,IH N T EH S T IH N,IntEstIn,1.02,8
5323,doze,D OW Z,doz,0.39,3
3978,covenant,K AH V AH N IH N T,kxvxnInt,6.69,8
4765,devilish,D EH V AH L IH SH,dEvxlIS,0.51,7
8816,impressive,IH M P R EH S IH V,ImprEsIv,16.96,8
532,amazingly,AH M EY Z IH NG L IY,xmezIGli,1.78,8
8256,hex,HH EH K S,hEks,1.29,4
15143,runway,R AH N W EY,rxnwe,5.47,5
17432,synapse,S IH AE P S,sIAps,0.73,5
16839,stepchild,S T EH P CH AY L D,stEpCYld,0.14,8
16716,stalk,S T AO K,stck,1.69,4
16933,storied,S T OW R IY D,storid,0.08,6
288,aeon,IY AH N,ixn,0.49,3
1067,authoritarian,AO TH OW R AH T EH R IY AH N,cTorxtErixn,0.06,11
15522,seaside,S IY S AY D,sisYd,0.65,5
5687,ego,IY G OW,igo,7.49,3
6692,file,F AY L,fYl,44.04,3
231,admiral,AE D M AH R AH L,Admxrxl,16.57,7
3931,counterattack,K AW N T AH R IH T AE K,kWntxrItAk,0.78,10
14174,rattle,R AE T AH L,rAtxl,3.37,5
12586,pattern,P AE T AH R N,pAtxrn,14.47,6
7401,gather,G AE DH AH R,gADxr,15.67,5
6125,eternal,IH T AH R N AH L,Itxrnxl,10.73,7
16905,stockbroker,S T AA K B R OW K AH R,stakbrokxr,1.06,10
16145,slake,S L EY K,slek,0.06,4
18353,turnover,T AH R N OW V AH R,txrnovxr,0.59,8
18200,treat,T R IY T,trit,51.88,4
2049,brashness,B R AE SH N AH S,brASnxs,0.02,7
11872,obviousness,AA B V IY AH S N AH S,abvixsnxs,0.02,9
1979,both,B OW TH,boT,295.33,3
1906,bolster,B OW L S T AH R,bolstxr,0.31,7
18094,tractor,T R AE K T AH R,trAktxr,3.73,7
11820,oasis,OW EY S IH S,oesIs,1.92,5
332,after,AE F T AH R,Aftxr,682.59,5
3627,consciousness,K AA N SH AH S N IH S,kanSxsnIs,8.1,9
14148,rare,R AE R,rAr,21.31,3
156,acrobatic,AE K R AH B AE T IH K,AkrxbAtIk,0.24,9
11224,monotone,M AA N IH T OW N,manIton,0.1,7
4995,discourage,D IH S K AH R IH JH,dIskxrIJ,1.33,8
13428,predigest,P R IY D AY JH EH S T,pridYJEst,0.04,9
2453,cane,K EY N,ken,8.33,3
1642,bicarbonate,B AY K AA R B AH N IH T,bYkarbxnIt,0.73,10
289,aerate,EH R EY T,Eret,0.02,4
6216,exception,IH K S EH P SH IH N,IksEpSIn,8.02,8
16450,sorrel,S AO R AH L,scrxl,0.41,5
4905,dilution,D IH L UW SH AH N,dIluSxn,0.04,7
16153,slapstick,S L AE P S T IH K,slApstIk,0.24,8
3057,classification,K L AE S AH F AH K EY SH IH N,klAsxfxkeSIn,0.73,12
11653,nocturnal,N AA K T AH R N AH L,naktxrnxl,1.22,9
14598,renown,R IH N AW N,rInWn,0.39,5
11045,minister,M IH N IH S T AH R,mInIstxr,18.45,8
3352,commitment,K AH M IH T M AH N T,kxmItmxnt,10.78,9
14657,repressive,R IH P R EH S IH V,rIprEsIv,0.24,8
18250,triumph,T R AY AH M F,trYxmf,4.65,6
12886,pheasant,F EH Z AH N T,fEzxnt,0.8,6
18085,toy,T OY,tO,16.84,2
1000001,toys,T OY S,tOs,16.84,2
1000002,canes,K EY N S,kens,8.33,3
1000003,treats,T R IY T S,trits,51.88,4
1000004,seasides,S IY S AY D S,sisYds,0.65,5
1000005,outcasts,AW T K AE S T S,WtkAsts,1.31,6
1000006,fabrications,F AE B R IH K EY SH IH N S,fAbrIkeSIns,0.84,10
