,Item,Pronunciation,Phonology,Frequency,Length
81,acceleration,AE K S EH L AH R EY SH AH N,AksElxreSxn,0.86,11
82,accelerator,AE K S EH L AH R EY T AH R,AksElxretxr,1.35,11
83,accent,AE K S EH N T,AksEnt,12.18,6
84,accentuate,AE K S EH N CH UW EY T,AksEnCuet,0.35,9
85,accept,AE K S EH P T,AksEpt,52.78,6
86,acceptable,AE K S EH P T AH B AH L,AksEptxbxl,5.27,10
87,acceptance,AE K S EH P T IH N S,AksEptIns,3.16,9
88,accepting,AH K S EH P T IH NG,xksEptIG,4.04,8
89,access,AE K S EH S,AksEs,31.67,5
90,accessibility,AE K S EH S AH B IH L IH T IY,AksEsxbIlIti,0.04,12
91,accessible,AE K S EH S IH B AH L,AksEsIbxl,1.1,9
92,accession,AA K S EH SH IH N,aksESIn,0.12,7
93,accessory,AE K S EH S AH R IY,AksEsxri,2.88,8
94,accident,AE K S IH D IH N T,AksIdInt,81.29,8
95,accidental,AE K S AH D EH N T AH L,AksxdEntxl,3.0,10
96,acclaim,AH K L EY M,xklem,0.43,5
97,acclamation,AE K L AH M EY SH IH N,AklxmeSIn,0.02,9
98,acclimatize,AH K L AY M AH T AY Z,xklYmxtYz,0.02,9
99,accolade,AE K AH L EY D,Akxled,0.02,6
100,accommodate,AH K AA M AH D EY T,xkamxdet,2.14,8
101,accommodation,AH K AA M AH D EY SH IH N,xkamxdeSIn,0.94,10
102,accompaniment,AH K AH M P AH N IY M AH N T,xkxmpxnimxnt,0.29,12
103,accompanist,AH K AH M P AH N IH S T,xkxmpxnIst,0.2,10
104,accompany,AH K AH M P AH N IY,xkxmpxni,4.75,8
105,accomplice,AH K AA M P L AH S,xkamplxs,4.24,8
106,accomplish,AH K AA M P L IH SH,xkamplIS,5.84,8
107,accomplished,AH K AA M P L IH SH T,xkamplISt,7.53,9
108,accomplishment,AH K AA M P L IH SH M EH N T,xkamplISmEnt,1.88,12
109,accord,AH K AO R D,xkcrd,1.63,5
110,accordance,AH K AO R D AH N S,xkcrdxns,1.59,8
111,according,AH K AO R D IH NG,xkcrdIG,41.86,7
112,accordion,AH K AO R D IY AH N,xkcrdixn,1.31,8
113,accost,AH K AO S T,xkcst,0.06,5
114,account,AH K AW N T,xkWnt,44.71,5
115,accountability,AH K AW N AH B IH L IH T IY,xkWnxbIlIti,0.47,11
116,accountable,AH K AW N T AH B AH L,xkWntxbxl,1.41,9
117,accountant,AH K AW N T AH N T,xkWntxnt,6.18,8
118,accounting,AH K AW N T IH NG,xkWntIG,4.51,7
119,accreditation,AH K R EH D AH T EY SH AH N,xkrEdxteSxn,0.18,11
120,accrue,AH K R UW,xkru,0.08,4
121,accumulate,AH K Y UW M Y UH L EY T,xkyumyUlet,0.57,10
122,accumulation,AH K Y UW M Y AH L EY SH AH N,xkyumyxleSxn,0.25,12
123,accuracy,AE K Y AH R AH S IY,Akyxrxsi,1.49,8
124,accurate,AE K Y AH R IH T,AkyxrIt,7.84,7
125,accusation,AE K Y UW Z EY SH IH N,AkyuzeSIn,2.8,9
126,accuse,AH K Y UW Z,xkyuz,5.69,5
127,accustom,AH K AH S T AH M,xkxstxm,0.12,7
128,ace,EY S,es,14.73,2
129,acetate,AE S AH T EY T,Asxtet,0.12,6
130,acetone,AE S AH T OW N,Asxton,0.16,6
131,ache,EY K,ek,2.49,2
132,achieve,AH CH IY V,xCiv,7.33,4
133,achievement,AH CH IY V M AH N T,xCivmxnt,3.49,8
134,acid,AE S IH D,AsId,9.96,4
135,acidity,AH S IH D IH T IY,xsIdIti,0.2,7
136,acknowledge,AE K N AA L IH JH,AknalIJ,6.14,7
137,acknowledgment,AE K N AA L IH JH M AH N T,AknalIJmxnt,0.51,11
138,acolyte,AE K AH L AY T,AkxlYt,0.14,6
139,acorn,EY K AO R N,ekcrn,0.73,5
140,acoustic,AH K UW S T IH K,xkustIk,0.96,7
141,acoustical,AH K UW S T IH K AH L,xkustIkxl,0.12,9
142,acoustics,AH K UW S T IH K S,xkustIks,0.43,8
143,acquaint,AH K W EY N T,xkwent,0.39,6
144,acquaintance,AH K W EY N T AH N S,xkwentxns,5.35,9
145,acquiesce,AE K W IY EH S,AkwiEs,0.06,6
146,acquiescence,AE K W IY EH S AH N S,AkwiEsxns,0.1,9
147,acquire,AH K W AY R,xkwYr,2.65,5
148,acquisition,AE K W AH Z IH SH IH N,AkwxzISIn,1.45,9
149,acquisitiveness,AH K W IH Z IH T IH V N EH S,xkwIzItIvnEs,0.02,12
150,acquit,AH K W IH T,xkwIt,0.47,5
151,acquittal,AH K W IH T AH L,xkwItxl,0.73,7
152,acre,EY K AH R,ekxr,1.82,4
153,acreage,EY K AH R IH JH,ekxrIJ,0.43,6
154,acrid,AE K R AH D,Akrxd,0.04,5
155,acrobat,AE K R AH B AE T,AkrxbAt,0.59,7
156,acrobatic,AE K R AH B AE T IH K,AkrxbAtIk,0.24,9
157,acrobatics,AE K R AH B AE T IH K S,AkrxbAtIks,0.22,10
158,across,AH K R AO S,xkrcs,94.14,5
159,acrylic,AH K R IH L IH K,xkrIlIk,0.45,7
160,act,AE K T,Akt,109.12,3
161,acting,AE K T IH NG,AktIG,52.45,5
162,action,AE K SH IH N,AkSIn,61.08,5
163,activate,AE K T IH V EY T,AktIvet,4.67,7
164,activation,AE K T AH V EY SH AH N,AktxveSxn,0.84,9
165,active,AE K T IH V,AktIv,11.45,5
166,actively,AE K T IH V L IY,AktIvli,0.82,7
167,activism,AE K T AH V IH Z AH M,AktxvIzxm,0.18,9
168,activity,AE K T IH V AH T IY,AktIvxti,12.88,8
169,actor,AE K T AH R,Aktxr,26.33,5
170,actress,AE K T R IH S,AktrIs,16.02,6
171,actual,AE K CH UW AH L,AkCuxl,17.33,6
172,actuality,AE K CH UW AE L IH T IY,AkCuAlIti,0.47,9
173,actually,AE K CH UW AH L IY,AkCuxli,322.33,7
174,actuarial,AE K CH UW EH R IY AH L,AkCuErixl,0.18,9
175,actuate,AE K CH UW EY T,AkCuet,0.02,6
176,acumen,AH K Y UW M AH N,xkyumxn,0.14,7
177,acute,AH K Y UW T,xkyut,2.94,5
178,acutely,AH K Y UW T L IY,xkyutli,0.27,7
183,adage,AE D IH JH,AdIJ,0.63,4
184,adagio,AH D AA JH IY OW,xdaJio,0.24,6
185,adamant,AE D AH M AH N T,Adxmxnt,0.98,7
186,adamantly,AE D AH M AH N T L IY,Adxmxntli,0.04,9
187,adapt,AH D AE P T,xdApt,2.63,5
188,adaptable,AH D AE P T AH B AH L,xdAptxbxl,0.33,9
189,adaptation,AE D AE P T EY SH IH N,AdApteSIn,1.59,9
190,adapter,AH D AE P T AH R,xdAptxr,0.22,7
191,adapting,AH D AE P T IH NG,xdAptIG,0.53,7
196,addict,AE D IH K T,AdIkt,5.35,5
197,addiction,AH D IH K SH IH N,xdIkSIn,3.9,7
198,adding,AE D IH NG,AdIG,4.02,4
199,addition,AH D IH SH IH N,xdISIn,7.75,6
200,additional,AH D IH SH IH N AH L,xdISInxl,5.88,8
201,additive,AE D IH T IH V,AdItIv,0.22,6
202,address,AE D R EH S,AdrEs,52.27,5
203,addressee,AE D R EH S IY,AdrEsi,0.12,6
204,adduce,AH D UW S,xdus,0.02,4
205,adept,AH D EH P T,xdEpt,0.65,5
206,adequacy,AE D AH K W AH S IY,Adxkwxsi,0.02,8
207,adequate,AE D IH K W IH T,AdIkwIt,2.59,7
208,adequately,AE D AH K W IH T L IY,AdxkwItli,0.53,9
209,adhere,AE D HH IH R,AdhIr,0.57,5
210,adherence,AE D HH IH R AH N S,AdhIrxns,0.18,8
211,adherent,AE D HH IH R AH N T,AdhIrxnt,0.06,8
212,adhesion,AE D HH IY ZH IH N,AdhiZIn,0.12,7
213,adhesive,AE D HH IY S IH V,AdhisIv,0.92,7
214,adjacent,AH JH EY S AH N T,xJesxnt,1.33,7
215,adjective,AE JH IH K T IH V,AJIktIv,0.49,7
216,adjourn,AH JH AH R N,xJxrn,1.29,5
217,adjournment,AH JH AH R N M AH N T,xJxrnmxnt,0.22,9
218,adjudge,AH JH AH JH,xJxJ,0.02,4
219,adjudicate,AH JH UW D IH K EY T,xJudIket,0.1,8
220,adjudication,AH JH UW D IH K EY SH IH N,xJudIkeSIn,0.18,10
221,adjunct,AE JH AH NG K T,AJxGkt,0.14,6
222,adjust,AH JH AH S T,xJxst,5.63,5
223,adjustable,AH JH AH S T AH B AH L,xJxstxbxl,0.31,9
224,adjustment,AH JH AH S T M AH N T,xJxstmxnt,3.1,9
225,administer,AH D M IH N IH S T AH R,xdmInIstxr,1.67,10
226,administration,AE D M IH N IH S T R EY SH AH N,AdmInIstreSxn,7.59,13
227,administrative,AH D M IH N IH S T R EY T IH V,xdmInIstretIv,1.61,13
228,administrator,AH D M IH N IH S T R EY T AH R,xdmInIstretxr,1.65,13
229,admirable,AE D M AH R AH B AH L,Admxrxbxl,2.61,9
230,admirably,AE D M AH R AH B L IY,Admxrxbli,0.41,9
231,admiral,AE D M AH R AH L,Admxrxl,16.57,7
232,admiralty,AE D M AH R AH L T IY,Admxrxlti,0.67,9
233,admiration,AE D M AH R EY SH IH N,AdmxreSIn,2.1,9
234,admire,AH D M AY R,xdmYr,14.16,5
235,admirer,AE D M AY R AH R,AdmYrxr,2.96,7
236,admissible,AH D M IH S AH B AH L,xdmIsxbxl,0.73,9
237,admission,AH D M IH SH IH N,xdmISIn,3.55,7
238,admit,AH D M IH T,xdmIt,59.2,5
239,admittance,AH D M IH T AH N S,xdmItxns,0.67,8
240,admonish,AE D M AA N IH SH,AdmanIS,0.08,7
241,admonition,AE D M AH N IH SH IH N,AdmxnISIn,0.1,9
242,ado,AH D UW,xdu,1.51,3
243,adobe,AH D OW B IY,xdobi,0.47,5
244,adolescence,AE D AH L EH S AH N S,AdxlEsxns,0.86,9
245,adolescent,AE D AH L EH S AH N T,AdxlEsxnt,1.84,9
246,adopt,AH D AA P T,xdapt,4.67,5
247,adoption,AH D AA P SH AH N,xdapSxn,4.69,7
248,adorable,AH D OW R AH B AH L,xdorxbxl,10.53,8
249,adore,AH D OW R,xdor,7.73,4
250,adorn,AH D AO R N,xdcrn,0.16,5
251,adrenal,AH D R IY N AH L,xdrinxl,0.31,7
252,adroit,AH D R OY T,xdrOt,0.12,5
253,adroitness,AH D R OY T N EH S,xdrOtnEs,0.02,8
254,adulation,AE JH IH L EY SH IH N,AJIleSIn,0.27,8
255,adult,AH D AH L T,xdxlt,14.29,5
256,adulterate,AH D AH L T AH R EY T,xdxltxret,0.02,9
257,adulterer,AH D AH L T AH R AH R,xdxltxrxr,0.39,9
258,adulterous,AH D AH L T AH R AH S,xdxltxrxs,0.33,9
259,adultery,AH D AH L T AH R IY,xdxltxri,1.94,8
260,adulthood,AH D AH L T HH UH D,xdxlthUd,0.73,8
261,advance,AE D V AE N S,AdvAns,15.98,6
262,advanced,AE D V AE N S T,AdvAnst,8.84,7
263,advancement,AE D V AE N S M AH N T,AdvAnsmxnt,1.24,10
264,advantage,AE D V AE N T IH JH,AdvAntIJ,22.06,8
265,advantageous,AE D V AE N T EY JH IH S,AdvAnteJIs,0.39,10
266,advent,AE D V EH N T,AdvEnt,0.47,6
267,adventure,AH D V EH N CH AH R,xdvEnCxr,13.43,8
268,adventurer,AH D V EH N CH AH R AH R,xdvEnCxrxr,0.73,10
269,adventurous,AE D V EH N CH AH R AH S,AdvEnCxrxs,1.22,10
270,adverb,AE D V AH R B,Advxrb,0.2,6
271,adverbial,AE D V AH R B IY AH L,Advxrbixl,0.06,9
272,adversary,AE D V AH R S EH R IY,AdvxrsEri,1.51,9
273,adverse,AE D V AH R S,Advxrs,0.71,6
274,adversity,AE D V AH R S IH T IY,AdvxrsIti,1.06,9
275,advertise,AE D V AH R T AY Z,AdvxrtYz,1.65,8
276,advertisement,AE D V AH R T AY Z M AH N T,AdvxrtYzmxnt,1.2,12
277,advertiser,AE D V AH R T AY Z AH R,AdvxrtYzxr,0.16,10
278,advertising,AE D V AH R T AY Z IH NG,AdvxrtYzIG,7.43,10
279,advice,AH D V AY S,xdvYs,47.98,5
280,advisable,AH D V AY Z AH B AH L,xdvYzxbxl,0.78,9
281,advise,AH D V AY Z,xdvYz,12.2,5
282,advisement,AH D V AY Z M AH N T,xdvYzmxnt,0.76,9
283,adviser,AE D V AY Z AH R,AdvYzxr,1.04,7
284,advisory,AH D V AY Z AH R IY,xdvYzxri,1.0,8
285,advocacy,AE D V AH K AH S IY,Advxkxsi,0.29,8
286,advocate,AE D V AH K EY T,Advxket,2.22,7
287,aegis,IY JH IH S,iJIs,0.1,4
288,aeon,IY AH N,ixn,0.49,3
289,aerate,EH R EY T,Eret,0.02,4
290,aeration,AE R EY SH IH N,AreSIn,0.02,6
291,aerial,AE R IY AH L,Arixl,2.53,5
292,aerobic,EH R OW B IH K,ErobIk,0.18,6
293,aerodynamic,EH R OW D AY N AE M IH K,ErodYnAmIk,0.43,10
294,aeronautical,EH R AH N AA T AH K AH L,Erxnatxkxl,0.24,10
295,aeronautics,AE R AH N AO T IH K S,ArxnctIks,0.18,9
296,aerosol,AE R IH S AO L,ArIscl,0.27,6
297,aerospace,AE R OW S P EY S,Arospes,1.08,7
298,aesthete,EH S TH IY T,EsTit,0.12,5
303,afar,AH F AA R,xfar,1.16,4
304,affable,AE F AH B AH L,Afxbxl,0.12,6
305,affair,AH F AE R,xfAr,29.45,4
306,affect,AH F EH K T,xfEkt,11.14,5
307,affectation,AE F EH K T EY SH IH N,AfEkteSIn,0.14,9
308,affection,AH F EH K SH IH N,xfEkSIn,8.45,7
309,affectionate,AH F EH K SH AH N IH T,xfEkSxnIt,2.25,9
310,affidavit,AE F IH D EY V AH T,AfIdevxt,1.96,8
311,affiliate,AH F IH L IY EY T,xfIliet,0.29,7
312,affiliation,AH F IH L IY EY SH AH N,xfIlieSxn,0.49,9
313,affinity,AH F IH N IH T IY,xfInIti,0.57,7
314,affirm,AH F AH R M,xfxrm,0.33,5
315,affirmation,AE F AH R M EY SH IH N,AfxrmeSIn,0.53,9
316,affirmative,AH F AH R M AH T IH V,xfxrmxtIv,4.73,9
317,affix,AH F IH K S,xfIks,0.12,5
318,afflict,AH F L IH K T,xflIkt,0.08,6
319,affliction,AH F L IH K SH AH N,xflIkSxn,1.18,8
320,affluence,AE F L UW AH N S,Afluxns,0.14,7
321,affluent,AE F L UW AH N T,Afluxnt,0.29,7
322,afford,AH F OW R D,xford,44.43,5
323,affront,AH F R AH N T,xfrxnt,0.59,6
324,afghan,AE F G AE N,AfgAn,0.57,5
325,aficionado,AH F IH SH IY AH N AA D OW,xfISixnado,0.22,10
326,afire,AH F AY R,xfYr,0.49,4
327,aflame,AH F L EY M,xflem,0.33,5
328,aforementioned,AH F OW R M EH N CH IH N D,xformEnCInd,0.47,11
329,aforesaid,AH F OW R S EH D,xforsEd,0.08,7
330,afraid,AH F R EY D,xfred,247.67,5
331,aft,AE F T,Aft,3.53,3
332,after,AE F T AH R,Aftxr,682.59,5
333,aftermath,AE F T AH R M AE TH,AftxrmAT,1.04,8
334,afternoon,AE F T AH R N UW N,Aftxrnun,91.49,8
335,again,AH G EH N,xgEn,792.71,4
336,against,AH G EH N S T,xgEnst,201.73,6
337,agate,AE G AH T,Agxt,0.04,4
338,age,EY JH,eJ,79.2,2
339,ageless,EY JH L AH S,eJlxs,0.29,5
340,agency,EY JH IH N S IY,eJInsi,19.43,6
341,agenda,AH JH EH N D AH,xJEndx,7.31,6
342,agent,EY JH IH N T,eJInt,102.65,5
343,agglutinate,AH G L UW T AH N EY T,xglutxnet,0.02,9
344,agglutinin,AH G L UW T AH N IH N,xglutxnIn,0.02,9
345,aggravate,AE G R AH V EY T,Agrxvet,0.73,7
346,aggregate,AE G R IH G IH T,AgrIgIt,0.2,7
347,aggregation,AE G R IH G EY SH IH N,AgrIgeSIn,0.04,9
348,aggression,AH G R EH SH IH N,xgrESIn,2.8,7
349,aggressive,AH G R EH S IH V,xgrEsIv,7.94,7
350,aggressiveness,AH G R EH S IH V N AH S,xgrEsIvnxs,0.39,10
351,aggressor,AH G R EH S AH R,xgrEsxr,0.57,7
352,aghast,AH G AE S T,xgAst,0.14,5
353,agile,AE JH AH L,AJxl,0.39,4
354,agility,AH JH IH L IH T IY,xJIlIti,0.45,7
355,agitate,AE JH IH T EY T,AJItet,0.43,6
356,agitation,AE JH IH T EY SH IH N,AJIteSIn,0.49,8
357,agitator,AE JH IH T EY T AH R,AJItetxr,0.22,8
358,agnostic,AE G N AA S T IH K,AgnastIk,0.37,8
359,agonize,AE G IH N AY Z,AgInYz,0.1,6
360,agonizing,AE G AH N AY Z IH NG,AgxnYzIG,0.71,8
361,agony,AE G IH N IY,AgIni,3.75,5
362,agrarian,AH G R EH R IY AH N,xgrErixn,0.16,8
363,agree,AH G R IY,xgri,64.67,4
364,agreeable,AH G R IY AH B AH L,xgrixbxl,1.59,8
365,agreement,AH G R IY M AH N T,xgrimxnt,17.49,8
366,agricultural,AE G R IH K AH L CH AH R AH L,AgrIkxlCxrxl,0.94,12
367,agriculture,AE G R IH K AH L CH AH R,AgrIkxlCxr,1.1,10
368,ague,EY G Y UW,egyu,0.04,4
369,ahead,AH HH EH D,xhEd,198.33,4
382,aileron,EY L AH R AA N,elxran,0.02,6
383,ailment,EY L M AH N T,elmxnt,0.51,6
384,aim,EY M,em,14.86,2
385,aimless,EY M L IH S,emlIs,0.27,5
390,airborne,AE R B OW R N,Arborn,4.22,6
391,aircraft,AE R K R AE F T,ArkrAft,9.45,7
392,airdrop,EH R D R AA P,Erdrap,0.04,6
393,airfield,AE R F IY L D,Arfild,2.31,6
394,airflow,AE R F L OW,Arflo,0.14,5
395,airless,AE R L IH S,ArlIs,0.1,5
396,airlift,AE R L IH F T,ArlIft,0.27,6
397,airline,AE R L AY N,ArlYn,6.49,5
398,airlock,EH R L AO K,Erlck,0.82,5
399,airmail,AE R M EY L,Armel,0.33,5
400,airman,EH R M AH N,Ermxn,0.59,5
401,airplane,AE R P L EY N,Arplen,10.92,6
402,airport,AE R P OW R T,Arport,38.04,6
403,airspeed,AE R S P IY D,Arspid,0.47,6
404,airstrip,AE R S T R IH P,ArstrIp,1.12,7
405,airway,EH R W EY,Erwe,1.63,4
406,airy,AE R IY,Ari,0.31,3
411,akin,AH K IH N,xkIn,0.27,4
412,al,AE L,Al,104.04,2
413,alabaster,AE L IH B AE S T AH R,AlIbAstxr,0.67,9
414,alarm,AH L AA R M,xlarm,29.84,5
415,alarmist,AH L AA R M IH S T,xlarmIst,0.33,8
416,albeit,AE L B IY AH T,Albixt,0.75,6
417,album,AE L B AH M,Albxm,10.24,5
418,albumin,AE L B Y UW M AH N,Albyumxn,0.08,8
419,alchemy,AE L K AH M IY,Alkxmi,0.22,6
420,alcohol,AE L K AH HH AO L,Alkxhcl,16.57,7
421,alcoholic,AE L K AH HH AO L IH K,AlkxhclIk,6.2,9
422,alcoholism,AE L K AH HH AO L IH Z AH M,AlkxhclIzxm,0.84,11
423,alcove,AE L K OW V,Alkov,0.47,5
424,alderman,AO L D AH R M AH N,cldxrmxn,0.8,8
429,alert,AH L AH R T,xlxrt,20.61,5
430,alertness,AH L AH R T N EH S,xlxrtnEs,0.08,8
431,alfresco,AE L F R EH S K OW,AlfrEsko,0.14,8
432,algebra,AE L JH IH B R AH,AlJIbrx,1.76,7
433,algebraic,AE L JH IH B R EY IH K,AlJIbreIk,0.06,9
434,algorithm,AE L G AH R IH DH AH M,AlgxrIDxm,0.53,9
435,alias,EY L IY AH S,elixs,4.08,5
436,alibi,AE L IH B AY,AlIbY,8.35,5
437,alien,EY L IY AH N,elixn,17.43,5
438,alienate,EY L Y AH N EY T,elyxnet,0.57,7
439,alienation,EY L IY AH N EY SH IH N,elixneSIn,0.43,9
440,alight,AH L AY T,xlYt,0.41,4
441,align,AH L AY N,xlYn,0.67,4
442,alignment,AH L AY N M AH N T,xlYnmxnt,1.31,8
443,alike,AH L AY K,xlYk,11.35,4
444,alimony,AE L AH M OW N IY,Alxmoni,2.59,7
445,alive,AH L AY V,xlYv,154.47,4
446,alkali,AE L K AH L AY,AlkxlY,0.35,6
447,alkaline,AE L K AH L AY N,AlkxlYn,0.31,7
448,alkaloid,AE L K AH L OY D,AlkxlOd,0.16,7
449,all,AO L,cl,5161.86,2
450,allay,AH L EY,xle,0.33,3
451,allegation,AE L IH G EY SH IH N,AlIgeSIn,0.53,8
452,allege,AH L EH JH,xlEJ,0.22,4
453,allegedly,AH L EH JH IH D L IY,xlEJIdli,2.22,8
454,allegiance,AH L IY JH IH N S,xliJIns,3.12,7
455,allegorical,AE L AH G AO R IH K AH L,AlxgcrIkxl,0.16,10
456,allegory,AE L AH G OW R IY,Alxgori,0.24,7
457,allegro,AH L EH G R OW,xlEgro,0.51,6
458,allergic,AH L AH R JH IH K,xlxrJIk,8.1,7
459,allergy,AE L AH R JH IY,AlxrJi,1.69,6
460,alleviate,AH L IY V IY EY T,xliviet,0.45,7
461,alley,AE L IY,Ali,16.29,3
462,alleyway,AE L IY W EY,Aliwe,0.78,5
463,alliance,AH L AY IH N S,xlYIns,9.12,6
464,alligator,AE L AH G EY T AH R,Alxgetxr,3.49,8
465,alliteration,AH L IH T AH R EY SH IH N,xlItxreSIn,0.18,10
466,alliterative,AH L IH T AH R EY T IH V,xlItxretIv,0.02,10
467,allocate,AE L AH K EY T,Alxket,0.16,6
468,allocation,AE L AH K EY SH IH N,AlxkeSIn,0.2,8
469,allot,AH L AA T,xlat,0.16,4
470,allotment,AH L AA T M AH N T,xlatmxnt,0.37,8
471,allow,AH L AW,xlW,44.37,3
472,allowable,AH L AW AH B AH L,xlWxbxl,0.1,7
473,allowance,AH L AW AH N S,xlWxns,5.2,6
474,alloy,AE L OY,AlO,1.02,3
479,allure,AH L UH R,xlUr,0.59,4
480,allusion,AH L UW ZH AH N,xluZxn,0.12,6
481,ally,AE L AY,AlY,32.67,3
482,alma,AA L M AH,almx,5.76,4
483,almanac,AO L M AH N AE K,clmxnAk,0.84,7
484,almighty,AO L M AY T IY,clmYti,8.75,6
485,almond,AA M AH N D,amxnd,1.1,5
486,almost,AO L M OW S T,clmost,193.27,6
487,aloe,AE L OW,Alo,0.29,3
488,alone,AH L OW N,xlon,308.53,4
489,aloneness,AH L OW N N EH S,xlonnEs,0.02,7
490,along,AH L AO NG,xlcG,182.94,4
491,alongside,AH L AO NG S AY D,xlcGsYd,3.76,7
492,aloof,AH L UW F,xluf,0.65,4
493,alphabet,AE L F AH B EH T,AlfxbEt,2.49,7
494,alphabetical,AE L F AH B EH T IH K AH L,AlfxbEtIkxl,0.86,11
495,alphabetize,AE L F AH B AH T AY Z,AlfxbxtYz,0.1,9
496,already,AO L R EH D IY,clrEdi,318.55,6
497,also,AO L S OW,clso,206.43,4
