Item,Pronunciation,Phonology,Frequency
accomplish,AH K AA M P L IH SH,xkamplIS,5.84
accomplished,AH K AA M P L IH SH T,xkamplISt,7.53
accomplishment,AH K AA M P L IH SH M EH N T,xkamplISmEnt,1.88
accord,AH K AO R D,xkcrd,1.63
accordance,AH K AO R D AH N S,xkcrdxns,1.59
according,AH K AO R D IH NG,xkcrdIG,41.86
accordion,AH K AO R D IY AH N,xkcrdixn,1.31
accost,AH K AO S T,xkcst,0.06
account,AH K AW N T,xkWnt,44.71
accountability,AH K AW N AH B IH L IH T IY,xkWnxbIlIti,0.47
accountable,AH K AW N T AH B AH L,xkWntxbxl,1.41
accountant,AH K AW N T AH N T,xkWntxnt,6.18
accounting,AH K AW N T IH NG,xkWntIG,4.51
accreditation,AH K R EH D AH T EY SH AH N,xkrEdxteSxn,0.18
accrue,AH K R UW,xkru,0.08
accumulate,AH K Y UW M Y UH L EY T,xkyumyUlet,0.57
accumulation,AH K Y UW M Y AH L EY SH AH N,xkyumyxleSxn,0.25
accuracy,AE K Y AH R AH S IY,Akyxrxsi,1.49
accurate,AE K Y AH R IH T,AkyxrIt,7.84
accusation,AE K Y UW Z EY SH IH N,AkyuzeSIn,2.8
accuse,AH K Y UW Z,xkyuz,5.69
accustom,AH K AH S T AH M,xkxstxm,0.12
ace,EY S,es,14.73
acetate,AE S AH T EY T,Asxtet,0.12
acetone,AE S AH T OW N,Asxton,0.16
ache,EY K,ek,2.49
achieve,AH CH IY V,xCiv,7.33
achievement,AH CH IY V M AH N T,xCivmxnt,3.49
acid,AE S IH D,AsId,9.96
acidity,AH S IH D IH T IY,xsIdIti,0.2
acknowledge,AE K N AA L IH JH,AknalIJ,6.14
acknowledgment,AE K N AA L IH JH M AH N T,AknalIJmxnt,0.51
acolyte,AE K AH L AY T,AkxlYt,0.14
acorn,EY K AO R N,ekcrn,0.73
acoustic,AH K UW S T IH K,xkustIk,0.96
acoustical,AH K UW S T IH K AH L,xkustIkxl,0.12
acoustics,AH K UW S T IH K S,xkustIks,0.43
acquaint,AH K W EY N T,xkwent,0.39
acquaintance,AH K W EY N T AH N S,xkwentxns,5.35
acquiesce,AE K W IY EH S,AkwiEs,0.06
acquiescence,AE K W IY EH S AH N S,AkwiEsxns,0.1
acquire,AH K W AY R,xkwYr,2.65
acquisition,AE K W AH Z IH SH IH N,AkwxzISIn,1.45
acquisitiveness,AH K W IH Z IH T IH V N EH S,xkwIzItIvnEs,0.02
acquit,AH K W IH T,xkwIt,0.47
acquittal,AH K W IH T AH L,xkwItxl,0.73
acre,EY K AH R,ekxr,1.82
acreage,EY K AH R IH JH,ekxrIJ,0.43
acrid,AE K R AH D,Akrxd,0.04
acrobat,AE K R AH B AE T,AkrxbAt,0.59
acrobatic,AE K R AH B AE T IH K,AkrxbAtIk,0.24
acrobatics,AE K R AH B AE T IH K S,AkrxbAtIks,0.22
across,AH K R AO S,xkrcs,94.14
acrylic,AH K R IH L IH K,xkrIlIk,0.45
act,AE K T,Akt,109.12
acting,AE K T IH NG,AktIG,52.45
action,AE K SH IH N,AkSIn,61.08
activate,AE K T IH V EY T,AktIvet,4.67
activation,AE K T AH V EY SH AH N,AktxveSxn,0.84
active,AE K T IH V,AktIv,11.45
actively,AE K T IH V L IY,AktIvli,0.82
activism,AE K T AH V IH Z AH M,AktxvIzxm,0.18
activity,AE K T IH V AH T IY,AktIvxti,12.88
actor,AE K T AH R,Aktxr,26.33
actress,AE K T R IH S,AktrIs,16.02
actual,AE K CH UW AH L,AkCuxl,17.33
actuality,AE K CH UW AE L IH T IY,AkCuAlIti,0.47
actually,AE K CH UW AH L IY,AkCuxli,322.33
actuarial,AE K CH UW EH R IY AH L,AkCuErixl,0.18
actuate,AE K CH UW EY T,AkCuet,0.02
acumen,AH K Y UW M AH N,xkyumxn,0.14
acute,AH K Y UW T,xkyut,2.94
acutely,AH K Y UW T L IY,xkyutli,0.27
ad,AE D,Ad,13.61
ad,AE D,Ad,13.61
ad,AE D,Ad,13.61
ad,AE D,Ad,13.61
adage,AE D IH JH,AdIJ,0.63
adagio,AH D AA JH IY OW,xdaJio,0.24
adamant,AE D AH M AH N T,Adxmxnt,0.98
adamantly,AE D AH M AH N T L IY,Adxmxntli,0.04
adapt,AH D AE P T,xdApt,2.63
adaptable,AH D AE P T AH B AH L,xdAptxbxl,0.33
adaptation,AE D AE P T EY SH IH N,AdApteSIn,1.59
adapter,AH D AE P T AH R,xdAptxr,0.22
adapting,AH D AE P T IH NG,xdAptIG,0.53
add,AE D,Ad,33.06
add,AE D,Ad,33.06
add,AE D,Ad,33.06
add,AE D,Ad,33.06
addict,AE D IH K T,AdIkt,5.35
addiction,AH D IH K SH IH N,xdIkSIn,3.9
adding,AE D IH NG,AdIG,4.02
addition,AH D IH SH IH N,xdISIn,7.75
additional,AH D IH SH IH N AH L,xdISInxl,5.88
additive,AE D IH T IH V,AdItIv,0.22
address,AE D R EH S,AdrEs,52.27
addressee,AE D R EH S IY,AdrEsi,0.12
adduce,AH D UW S,xdus,0.02
adept,AH D EH P T,xdEpt,0.65
adequacy,AE D AH K W AH S IY,Adxkwxsi,0.02
adequate,AE D IH K W IH T,AdIkwIt,2.59
adequately,AE D AH K W IH T L IY,AdxkwItli,0.53
adhere,AE D HH IH R,AdhIr,0.57
adherence,AE D HH IH R AH N S,AdhIrxns,0.18
adherent,AE D HH IH R AH N T,AdhIrxnt,0.06
adhesion,AE D HH IY ZH IH N,AdhiZIn,0.12
adhesive,AE D HH IY S IH V,AdhisIv,0.92
adjacent,AH JH EY S AH N T,xJesxnt,1.33
adjective,AE JH IH K T IH V,AJIktIv,0.49
adjourn,AH JH AH R N,xJxrn,1.29
adjournment,AH JH AH R N M AH N T,xJxrnmxnt,0.22
adjudge,AH JH AH JH,xJxJ,0.02
adjudicate,AH JH UW D IH K EY T,xJudIket,0.1
adjudication,AH JH UW D IH K EY SH IH N,xJudIkeSIn,0.18
adjunct,AE JH AH NG K T,AJxGkt,0.14
adjust,AH JH AH S T,xJxst,5.63
adjustable,AH JH AH S T AH B AH L,xJxstxbxl,0.31
adjustment,AH JH AH S T M AH N T,xJxstmxnt,3.1
administer,AH D M IH N IH S T AH R,xdmInIstxr,1.67
administration,AE D M IH N IH S T R EY SH AH N,AdmInIstreSxn,7.59
administrative,AH D M IH N IH S T R EY T IH V,xdmInIstretIv,1.61
administrator,AH D M IH N IH S T R EY T AH R,xdmInIstretxr,1.65
admirable,AE D M AH R AH B AH L,Admxrxbxl,2.61
admirably,AE D M AH R AH B L IY,Admxrxbli,0.41
admiral,AE D M AH R AH L,Admxrxl,16.57
admiralty,AE D M AH R AH L T IY,Admxrxlti,0.67
admiration,AE D M AH R EY SH IH N,AdmxreSIn,2.1
admire,AH D M AY R,xdmYr,14.16
admirer,AE D M AY R AH R,AdmYrxr,2.96
admissible,AH D M IH S AH B AH L,xdmIsxbxl,0.73
admission,AH D M IH SH IH N,xdmISIn,3.55
admit,AH D M IH T,xdmIt,59.2
admittance,AH D M IH T AH N S,xdmItxns,0.67
admonish,AE D M AA N IH SH,AdmanIS,0.08
admonition,AE D M AH N IH SH IH N,AdmxnISIn,0.1
ado,AH D UW,xdu,1.51
adobe,AH D OW B IY,xdobi,0.47
adolescence,AE D AH L EH S AH N S,AdxlEsxns,0.86
adolescent,AE D AH L EH S AH N T,AdxlEsxnt,1.84
adopt,AH D AA P T,xdapt,4.67
adoption,AH D AA P SH AH N,xdapSxn,4.69
adorable,AH D OW R AH B AH L,xdorxbxl,10.53
adore,AH D OW R,xdor,7.73
adorn,AH D AO R N,xdcrn,0.16
adrenal,AH D R IY N AH L,xdrinxl,0.31
adroit,AH D R OY T,xdrOt,0.12
adroitness,AH D R OY T N EH S,xdrOtnEs,0.02
adulation,AE JH IH L EY SH IH N,AJIleSIn,0.27
adult,AH D AH L T,xdxlt,14.29
adulterate,AH D AH L T AH R EY T,xdxltxret,0.02
adulterer,AH D AH L T AH R AH R,xdxltxrxr,0.39
adulterous,AH D AH L T AH R AH S,xdxltxrxs,0.33
adultery,AH D AH L T AH R IY,xdxltxri,1.94
adulthood,AH D AH L T HH UH D,xdxlthUd,0.73
advance,AE D V AE N S,AdvAns,15.98
advanced,AE D V AE N S T,AdvAnst,8.84
advancement,AE D V AE N S M AH N T,AdvAnsmxnt,1.24
advantage,AE D V AE N T IH JH,AdvAntIJ,22.06
advantageous,AE D V AE N T EY JH IH S,AdvAnteJIs,0.39
advent,AE D V EH N T,AdvEnt,0.47
adventure,AH D V EH N CH AH R,xdvEnCxr,13.43
adventurer,AH D V EH N CH AH R AH R,xdvEnCxrxr,0.73
adventurous,AE D V EH N CH AH R AH S,AdvEnCxrxs,1.22
adverb,AE D V AH R B,Advxrb,0.2
adverbial,AE D V AH R B IY AH L,Advxrbixl,0.06
adversary,AE D V AH R S EH R IY,AdvxrsEri,1.51
adverse,AE D V AH R S,Advxrs,0.71
adversity,AE D V AH R S IH T IY,AdvxrsIti,1.06
advertise,AE D V AH R T AY Z,AdvxrtYz,1.65
advertisement,AE D V AH R T AY Z M AH N T,AdvxrtYzmxnt,1.2
advertiser,AE D V AH R T AY Z AH R,AdvxrtYzxr,0.16
advertising,AE D V AH R T AY Z IH NG,AdvxrtYzIG,7.43
advice,AH D V AY S,xdvYs,47.98
advisable,AH D V AY Z AH B AH L,xdvYzxbxl,0.78
advise,AH D V AY Z,xdvYz,12.2
advisement,AH D V AY Z M AH N T,xdvYzmxnt,0.76
adviser,AE D V AY Z AH R,AdvYzxr,1.04
advisory,AH D V AY Z AH R IY,xdvYzxri,1
advocacy,AE D V AH K AH S IY,Advxkxsi,0.29
advocate,AE D V AH K EY T,Advxket,2.22
aegis,IY JH IH S,iJIs,0.1
aeon,IY AH N,ixn,0.49
aerate,EH R EY T,Eret,0.02
aeration,AE R EY SH IH N,AreSIn,0.02
aerial,AE R IY AH L,Arixl,2.53
aerobic,EH R OW B IH K,ErobIk,0.18
aerodynamic,EH R OW D AY N AE M IH K,ErodYnAmIk,0.43
aeronautical,EH R AH N AA T AH K AH L,Erxnatxkxl,0.24
aeronautics,AE R AH N AO T IH K S,ArxnctIks,0.18
aerosol,AE R IH S AO L,ArIscl,0.27
aerospace,AE R OW S P EY S,Arospes,1.08
aesthete,EH S TH IY T,EsTit,0.12
aesthetic,EH S TH EH T IH K,EsTEtIk,0.67
aesthetic,EH S TH EH T IH K,EsTEtIk,0.67
aesthetic,EH S TH EH T IH K,EsTEtIk,0.67
aesthetic,EH S TH EH T IH K,EsTEtIk,0.67
afar,AH F AA R,xfar,1.16
affable,AE F AH B AH L,Afxbxl,0.12
affair,AH F AE R,xfAr,29.45
affect,AH F EH K T,xfEkt,11.14
affectation,AE F EH K T EY SH IH N,AfEkteSIn,0.14
affection,AH F EH K SH IH N,xfEkSIn,8.45
affectionate,AH F EH K SH AH N IH T,xfEkSxnIt,2.25
affidavit,AE F IH D EY V AH T,AfIdevxt,1.96
affiliate,AH F IH L IY EY T,xfIliet,0.29
affiliation,AH F IH L IY EY SH AH N,xfIlieSxn,0.49
affinity,AH F IH N IH T IY,xfInIti,0.57
affirm,AH F AH R M,xfxrm,0.33
affirmation,AE F AH R M EY SH IH N,AfxrmeSIn,0.53
affirmative,AH F AH R M AH T IH V,xfxrmxtIv,4.73
affix,AH F IH K S,xfIks,0.12
afflict,AH F L IH K T,xflIkt,0.08
affliction,AH F L IH K SH AH N,xflIkSxn,1.18
affluence,AE F L UW AH N S,Afluxns,0.14
affluent,AE F L UW AH N T,Afluxnt,0.29
afford,AH F OW R D,xford,44.43
affront,AH F R AH N T,xfrxnt,0.59
afghan,AE F G AE N,AfgAn,0.57
aficionado,AH F IH SH IY AH N AA D OW,xfISixnado,0.22
afire,AH F AY R,xfYr,0.49
aflame,AH F L EY M,xflem,0.33
aforementioned,AH F OW R M EH N CH IH N D,xformEnCInd,0.47
aforesaid,AH F OW R S EH D,xforsEd,0.08
afraid,AH F R EY D,xfred,247.67
aft,AE F T,Aft,3.53
after,AE F T AH R,Aftxr,682.59
aftermath,AE F T AH R M AE TH,AftxrmAT,1.04
afternoon,AE F T AH R N UW N,Aftxrnun,91.49
again,AH G EH N,xgEn,792.71
against,AH G EH N S T,xgEnst,201.73
agate,AE G AH T,Agxt,0.04
age,EY JH,eJ,79.2
ageless,EY JH L AH S,eJlxs,0.29
agency,EY JH IH N S IY,eJInsi,19.43
agenda,AH JH EH N D AH,xJEndx,7.31
agent,EY JH IH N T,eJInt,102.65
agglutinate,AH G L UW T AH N EY T,xglutxnet,0.02
agglutinin,AH G L UW T AH N IH N,xglutxnIn,0.02
aggravate,AE G R AH V EY T,Agrxvet,0.73
aggregate,AE G R IH G IH T,AgrIgIt,0.2
aggregation,AE G R IH G EY SH IH N,AgrIgeSIn,0.04
aggression,AH G R EH SH IH N,xgrESIn,2.8
aggressive,AH G R EH S IH V,xgrEsIv,7.94
aggressiveness,AH G R EH S IH V N AH S,xgrEsIvnxs,0.39
aggressor,AH G R EH S AH R,xgrEsxr,0.57
aghast,AH G AE S T,xgAst,0.14
agile,AE JH AH L,AJxl,0.39
agility,AH JH IH L IH T IY,xJIlIti,0.45
agitate,AE JH IH T EY T,AJItet,0.43
agitation,AE JH IH T EY SH IH N,AJIteSIn,0.49
agitator,AE JH IH T EY T AH R,AJItetxr,0.22
agnostic,AE G N AA S T IH K,AgnastIk,0.37
agonize,AE G IH N AY Z,AgInYz,0.1
agonizing,AE G AH N AY Z IH NG,AgxnYzIG,0.71
agony,AE G IH N IY,AgIni,3.75
agrarian,AH G R EH R IY AH N,xgrErixn,0.16
agree,AH G R IY,xgri,64.67
agreeable,AH G R IY AH B AH L,xgrixbxl,1.59
agreement,AH G R IY M AH N T,xgrimxnt,17.49
agricultural,AE G R IH K AH L CH AH R AH L,AgrIkxlCxrxl,0.94
agriculture,AE G R IH K AH L CH AH R,AgrIkxlCxr,1.1
ague,EY G Y UW,egyu,0.04
ahead,AH HH EH D,xhEd,198.33
aid,EY D,ed,13.9
aid,EY D,ed,13.9
aid,EY D,ed,13.9
aid,EY D,ed,13.9
aide,EY D,ed,2.02
aide,EY D,ed,2.02
aide,EY D,ed,2.02
aide,EY D,ed,2.02
ail,EY L,el,0.22
ail,EY L,el,0.22
ail,EY L,el,0.22
ail,EY L,el,0.22
aileron,EY L AH R AA N,elxran,0.02
ailment,EY L M AH N T,elmxnt,0.51
aim,EY M,em,14.86
aimless,EY M L IH S,emlIs,0.27
air,AE R,Ar,139.02
air,AE R,Ar,139.02
air,AE R,Ar,139.02
air,AE R,Ar,139.02
airborne,AE R B OW R N,Arborn,4.22
aircraft,AE R K R AE F T,ArkrAft,9.45
airdrop,EH R D R AA P,Erdrap,0.04
airfield,AE R F IY L D,Arfild,2.31
airflow,AE R F L OW,Arflo,0.14
airless,AE R L IH S,ArlIs,0.1
airlift,AE R L IH F T,ArlIft,0.27
airline,AE R L AY N,ArlYn,6.49
airlock,EH R L AO K,Erlck,0.82
airmail,AE R M EY L,Armel,0.33
airman,EH R M AH N,Ermxn,0.59
airplane,AE R P L EY N,Arplen,10.92
airport,AE R P OW R T,Arport,38.04
airspeed,AE R S P IY D,Arspid,0.47
airstrip,AE R S T R IH P,ArstrIp,1.12
airway,EH R W EY,Erwe,1.63
airy,AE R IY,Ari,0.31
aisle,AY L,Yl,7.43
aisle,AY L,Yl,7.43
aisle,AY L,Yl,7.43
aisle,AY L,Yl,7.43
akin,AH K IH N,xkIn,0.27
al,AE L,Al,104.04
alabaster,AE L IH B AE S T AH R,AlIbAstxr,0.67
alarm,AH L AA R M,xlarm,29.84
alarmist,AH L AA R M IH S T,xlarmIst,0.33
albeit,AE L B IY AH T,Albixt,0.75
album,AE L B AH M,Albxm,10.24
albumin,AE L B Y UW M AH N,Albyumxn,0.08
alchemy,AE L K AH M IY,Alkxmi,0.22
alcohol,AE L K AH HH AO L,Alkxhcl,16.57
alcoholic,AE L K AH HH AO L IH K,AlkxhclIk,6.2
alcoholism,AE L K AH HH AO L IH Z AH M,AlkxhclIzxm,0.84
alcove,AE L K OW V,Alkov,0.47
alderman,AO L D AH R M AH N,cldxrmxn,0.8
ale,EY L,el,3.96
ale,EY L,el,3.96
ale,EY L,el,3.96
ale,EY L,el,3.96
alert,AH L AH R T,xlxrt,20.61
alertness,AH L AH R T N EH S,xlxrtnEs,0.08
alfresco,AE L F R EH S K OW,AlfrEsko,0.14
algebra,AE L JH IH B R AH,AlJIbrx,1.76
algebraic,AE L JH IH B R EY IH K,AlJIbreIk,0.06
algorithm,AE L G AH R IH DH AH M,AlgxrIDxm,0.53
alias,EY L IY AH S,elixs,4.08
alibi,AE L IH B AY,AlIbY,8.35
alien,EY L IY AH N,elixn,17.43
alienate,EY L Y AH N EY T,elyxnet,0.57
alienation,EY L IY AH N EY SH IH N,elixneSIn,0.43
alight,AH L AY T,xlYt,0.41
align,AH L AY N,xlYn,0.67
alignment,AH L AY N M AH N T,xlYnmxnt,1.31
alike,AH L AY K,xlYk,11.35
alimony,AE L AH M OW N IY,Alxmoni,2.59
alive,AH L AY V,xlYv,154.47
alkali,AE L K AH L AY,AlkxlY,0.35
alkaline,AE L K AH L AY N,AlkxlYn,0.31
alkaloid,AE L K AH L OY D,AlkxlOd,0.16
all,AO L,cl,5161.86
allay,AH L EY,xle,0.33
allegation,AE L IH G EY SH IH N,AlIgeSIn,0.53
allege,AH L EH JH,xlEJ,0.22
allegedly,AH L EH JH IH D L IY,xlEJIdli,2.22
allegiance,AH L IY JH IH N S,xliJIns,3.12
allegorical,AE L AH G AO R IH K AH L,AlxgcrIkxl,0.16
allegory,AE L AH G OW R IY,Alxgori,0.24
allegro,AH L EH G R OW,xlEgro,0.51
allergic,AH L AH R JH IH K,xlxrJIk,8.1
allergy,AE L AH R JH IY,AlxrJi,1.69
alleviate,AH L IY V IY EY T,xliviet,0.45
alley,AE L IY,Ali,16.29
alleyway,AE L IY W EY,Aliwe,0.78
alliance,AH L AY IH N S,xlYIns,9.12
alligator,AE L AH G EY T AH R,Alxgetxr,3.49
alliteration,AH L IH T AH R EY SH IH N,xlItxreSIn,0.18
alliterative,AH L IH T AH R EY T IH V,xlItxretIv,0.02
allocate,AE L AH K EY T,Alxket,0.16
allocation,AE L AH K EY SH IH N,AlxkeSIn,0.2
allot,AH L AA T,xlat,0.16
allotment,AH L AA T M AH N T,xlatmxnt,0.37
allow,AH L AW,xlW,44.37
allowable,AH L AW AH B AH L,xlWxbxl,0.1
allowance,AH L AW AH N S,xlWxns,5.2
alloy,AE L OY,AlO,1.02
allude,AH L UW D,xlud,0.2
allude,AH L UW D,xlud,0.2
allude,AH L UW D,xlud,0.2
allude,AH L UW D,xlud,0.2
allure,AH L UH R,xlUr,0.59
allusion,AH L UW ZH AH N,xluZxn,0.12
ally,AE L AY,AlY,32.67
alma,AA L M AH,almx,5.76
almanac,AO L M AH N AE K,clmxnAk,0.84
almighty,AO L M AY T IY,clmYti,8.75
almond,AA M AH N D,amxnd,1.1
almost,AO L M OW S T,clmost,193.27
aloe,AE L OW,Alo,0.29
alone,AH L OW N,xlon,308.53
aloneness,AH L OW N N EH S,xlonnEs,0.02
along,AH L AO NG,xlcG,182.94
alongside,AH L AO NG S AY D,xlcGsYd,3.76
aloof,AH L UW F,xluf,0.65
alphabet,AE L F AH B EH T,AlfxbEt,2.49
alphabetical,AE L F AH B EH T IH K AH L,AlfxbEtIkxl,0.86
alphabetize,AE L F AH B AH T AY Z,AlfxbxtYz,0.1
already,AO L R EH D IY,clrEdi,318.55
also,AO L S OW,clso,206.43
altar,AO L T AH R,cltxr,5.08
altar,AO L T AH R,cltxr,5.08
altar,AO L T AH R,cltxr,5.08
altar,AO L T AH R,cltxr,5.08
alter,AO L T AH R,cltxr,4.78
alter,AO L T AH R,cltxr,4.78
alter,AO L T AH R,cltxr,4.78
alter,AO L T AH R,cltxr,4.78
alteration,AO L T AH R EY SH IH N,cltxreSIn,0.71
altercation,AO L T AH R K EY SH IH N,cltxrkeSIn,0.73
alternate,AO L T AH R EY T,cltxret,3.53
alternation,AO L T AH R N EY SH IH N,cltxrneSIn,0.04
alternative,AO L T AH R N IH T IH V,cltxrnItIv,9.33
although,AO L DH OW,clDo,42.02
altitude,AE L T IH T UW D,AltItud,3.88
alto,AE L T OW,Alto,1.35
altogether,AO L T IH G EH DH AH R,cltIgEDxr,6.41
altruism,AE L T R UW IH Z AH M,AltruIzxm,0.22
alum,AE L AH M,Alxm,0.14
aluminum,AH L UW M IH N AH M,xlumInxm,2.25
alumna,AH L AH M N AH,xlxmnx,0.02
alumnus,AH L AH M N IH S,xlxmnIs,0.47
alveolar,AE L V IY AH L AH R,Alvixlxr,0.08
alveolus,AE L V IY AH L AH S,Alvixlxs,0.02
always,AO L W AH Z,clwxz,655.25
amalgamation,AH M AE L G AH M EY SH AH N,xmAlgxmeSxn,0.12
amanuensis,AH M AE N Y UH EH N S IH S,xmAnyUEnsIs,0.04
amass,AH M AE S,xmAs,0.06
amassing,AH M AE S IH NG,xmAsIG,0.16
amateur,AE M AH CH AH R,AmxCxr,6.55
amateurish,AE M AH CH AH R IH SH,AmxCxrIS,0.37
amaze,AH M EY Z,xmez,1.61
amazement,AH M EY Z M AH N T,xmezmxnt,0.71
amazing,AH M EY Z IH NG,xmezIG,81.71
amazingly,AH M EY Z IH NG L IY,xmezIGli,1.78
amazon,AE M AH Z AA N,Amxzan,2.9
ambassador,AE M B AE S AH D AH R,AmbAsxdxr,13.51
amber,AE M B AH R,Ambxr,9.27
ambiance,AE M B IY AH N S,Ambixns,0.16
ambidextrous,AE M B IH D EH K S T R IH S,AmbIdEkstrIs,0.24
ambiguity,AE M B AH G Y UW IH T IY,AmbxgyuIti,0.27
ambiguous,AE M B IH G Y UW AH S,AmbIgyuxs,0.73
ambition,AE M B IH SH IH N,AmbISIn,5.35
ambitious,AE M B IH SH IH S,AmbISIs,4.76
