Unnamed: 0,Item,Pronunciation,Phonology,Frequency,Length
18502,uncomfortable,AH N K AH M F T AH B AH L,xnkxmftxbxl,15.65,11
13886,purity,P Y UH R IH T IY,pyUrIti,2.37,7
18704,unique,Y UH N IY K,yUnik,13.65,5
11746,novel,N AA V AH L,navxl,10.06,5
4512,delicate,D EH L AH K IH T,dElxkIt,9.51,7
14376,reef,R IY F,rif,4.0,3
16657,squabbling,S K W AA B L IH NG,skwablIG,0.29,8
13234,pollute,P AH L UW T,pxlut,0.45,5
14664,reproduce,R IH P R AH D UW S,rIprxdus,1.55,8
8770,imperfection,IH M P AH R F EH K SH IH N,ImpxrfEkSIn,0.29,11
6435,fad,F AE D,fAd,0.76,3
1043,audible,AO D IH B AH L,cdIbxl,0.71,6
5045,dishwater,D IH SH W AO T AH R,dISwctxr,0.22,8
16804,steady,S T EH D IY,stEdi,22.71,5
16457,sort,S AO R T,scrt,148.71,4
3306,combination,K AA M B IH N EY SH IH N,kambIneSIn,11.98,10
19149,viable,V AY AH B AH L,vYxbxl,2.37,6
19092,ventilation,V EH N T AH L EY SH IH N,vEntxleSIn,2.16,10
19267,volition,V OW L IH SH IH N,volISIn,0.29,7
4906,dim,D IH M,dIm,4.76,3
15856,shoal,SH OW L,Sol,0.2,3
14011,quill,K W IH L,kwIl,2.73,4
2734,centrifuge,S EH N T R AH F Y UW JH,sEntrxfyuJ,0.1,10
3049,clarify,K L AE R AH F AY,klArxfY,2.24,7
2103,brevity,B R EH V AH T IY,brEvxti,0.22,7
6357,extensive,IH K S T EH N S IH V,IkstEnsIv,3.71,9
19603,whoever,HH UW EH V AH R,huEvxr,43.2,6
19244,vitriolic,V IH T R IY AA L IH K,vItrialIk,0.08,9
9974,learner,L AH R N AH R,lxrnxr,1.2,6
7630,gourmet,G UH R M EY,gUrme,2.18,5
2490,cap,K AE P,kAp,18.75,3
1714,bit,B IH T,bIt,235.04,3
7161,frankness,F R AE NG K N IH S,frAGknIs,0.31,8
17567,teach,T IY CH,tiC,72.84,3
1657,bigot,B IH G IH T,bIgIt,0.61,5
9010,indoctrinate,IH N D AA K T R AH N EY T,Indaktrxnet,0.08,11
12362,palace,P AE L AH S,pAlxs,19.2,5
18491,uncharted,AH N CH AA R T IH D,xnCartId,1.18,8
3898,cosmology,K AA Z M AA L AH JH IY,kazmalxJi,0.12,9
16726,stance,S T AE N S,stAns,1.88,5
18222,tribal,T R AY B AH L,trYbxl,1.86,6
6358,extensor,IH K S T EH N S AH R,IkstEnsxr,0.04,9
18304,truth,T R UW TH,truT,192.18,4
4027,crank,K R AE NG K,krAGk,5.33,5
6969,foodstuff,F UW D S T AH F,fudstxf,0.04,7
17282,supplier,S AH P L AY AH R,sxplYxr,1.94,7
18093,tract,T R AE K T,trAkt,1.43,5
2156,broadening,B R AO D N IH NG,brcdnIG,0.22,7
12861,petite,P AH T IY T,pxtit,1.06,5
7999,hangover,HH AE NG OW V AH R,hAGovxr,3.9,7
12906,phosphorescent,F AA S F AH R EH S AH N T,fasfxrEsxnt,0.12,11
3965,court,K OW R T,kort,100.73,4
10712,mausoleum,M AO S AH L IY AH M,mcsxlixm,0.84,8
18755,unpack,AH N P AE K,xnpAk,3.24,5
3653,consistent,K AH N S IH S T AH N T,kxnsIstxnt,5.75,10
11136,mixing,M IH K S IH NG,mIksIG,3.45,6
5687,ego,IY G OW,igo,7.49,3
14230,realty,R IY AH L T IY,rixlti,0.49,6
127,accustom,AH K AH S T AH M,xkxstxm,0.12,7
19470,weaponry,W EH P AH N R IY,wEpxnri,1.06,7
10046,lest,L EH S T,lEst,1.96,4
896,artificiality,AA R T AH F IH SH IY AE L IH T IY,artxfISiAlIti,0.1,13
3037,clamor,K L AE M AH R,klAmxr,0.14,6
15526,seat,S IY T,sit,78.78,3
7142,fragmentation,F R AE G M AH N T EY SH AH N,frAgmxnteSxn,0.14,12
7293,further,F AH R DH AH R,fxrDxr,52.75,6
2990,cipher,S AY F AH R,sYfxr,1.49,5
15599,self,S EH L F,sElf,14.16,4
19340,wallow,W AA L OW,walo,1.61,4
17334,survivability,S AH R V AY V AH B IH L IH T IY,sxrvYvxbIlIti,0.06,13
1669,billiard,B IH L Y AH R D,bIlyxrd,0.82,7
11339,mug,M AH G,mxg,6.84,3
8064,hat,HH AE T,hAt,64.18,3
6197,exaltation,EH G Z AO L T EY SH IH N,EgzclteSIn,0.06,10
14841,reviewer,R IY V Y UW AH R,rivyuxr,0.51,7
12777,periodic,P IH R IY AA D IH K,pIriadIk,0.41,8
14646,reporting,R IH P AO R T IH NG,rIpcrtIG,11.55,8
13792,psychiatrist,S IH K AY AH T R IH S T,sIkYxtrIst,12.06,10
14500,rejoice,R IH JH OY S,rIJOs,1.69,5
15265,sandwich,S AE N D W IH CH,sAndwIC,21.92,7
2154,broadcasting,B R AO D K AE S T IH NG,brcdkAstIG,3.2,10
12605,payment,P EY M AH N T,pemxnt,10.55,6
8424,horrible,HH AO R AH B AH L,hcrxbxl,42.43,7
18633,unexplained,AH N IH K S P L EY N D,xnIksplend,1.55,10
12572,patriarchy,P EY T R IY AA R K IY,petriarki,0.06,9
8313,hiss,HH IH S,hIs,0.92,3
1039,auburn,AO B AH R N,cbxrn,0.57,5
8311,hipster,HH IH P S T AH R,hIpstxr,0.24,7
2905,china,CH AY N AH,CYnx,24.86,4
14713,resist,R IH Z IH S T,rIzIst,12.88,6
16990,strenuous,S T R EH N Y UW AH S,strEnyuxs,0.59,9
14651,represent,R EH P R IY Z EH N T,rEprizEnt,15.16,9
1203,backside,B AE K S AY D,bAksYd,1.67,6
17183,suggested,S AH G JH EH S T IH D,sxgJEstId,10.29,9
7675,grandstand,G R AE N S T AE N D,grAnstAnd,0.61,9
16739,stapling,S T EY P L IH NG,steplIG,0.18,7
5629,eccentricity,EH K S EH N T R IH S IH T IY,EksEntrIsIti,0.2,12
13415,precocity,P R IH K AA S IH T IY,prIkasIti,0.06,9
1781,blind,B L AY N D,blYnd,45.82,5
17091,submit,S AH B M IH T,sxbmIt,5.53,6
10480,majority,M AH JH AO R IH T IY,mxJcrIti,5.12,8
9454,invincible,IH N V IH N S AH B AH L,InvInsxbxl,3.02,10
17577,teammate,T IY M M EY T,timmet,0.9,6
10881,merger,M AH R JH AH R,mxrJxr,3.96,6
14492,reinforcement,R IY IH N F OW R S M AH N T,riInforsmxnt,0.86,12
16867,stewardship,S T UW AH R D SH IH P,stuxrdSIp,0.04,9
18884,unused,AH N Y UW Z D,xnyuzd,0.63,6
6912,fluctuation,F L AH K CH UW EY SH IH N,flxkCueSIn,0.33,10
5549,dusky,D AH S K IY,dxski,0.41,5
12581,patronage,P AE T R AH N IH JH,pAtrxnIJ,0.37,8
18631,unexpected,AH N IH K S P EH K T IH D,xnIkspEktId,8.78,11
1512,behold,B IH HH OW L D,bIhold,5.94,6
9348,interlude,IH N T AH R L UW D,Intxrlud,0.43,8
15661,septic,S EH P T IH K,sEptIk,1.41,6
5272,donate,D OW N EY T,donet,3.98,5
8199,help,HH EH L P,hElp,921.12,4
18029,topple,T AA P AH L,tapxl,0.63,5
6538,fatuous,F AE CH UW AH S,fACuxs,0.14,6
1366,bassinet,B AE S AH N EH T,bAsxnEt,0.35,7
11551,neither,N IY DH AH R,niDxr,67.67,5
7519,girlie,G AH R L IY,gxrli,3.12,5
6948,foggy,F AA G IY,fagi,1.29,4
19089,venomous,V EH N AH M AH S,vEnxmxs,0.53,7
13342,potboiler,P AA T B OY L AH R,patbOlxr,0.02,8
8951,incurable,IH N K Y UH R AH B AH L,InkyUrxbxl,1.02,10
9155,initiate,IH N IH SH IY EY T,InISiet,3.33,7
13029,piracy,P AY R IH S IY,pYrIsi,0.8,6
15695,serve,S AH R V,sxrv,37.94,4
13919,puzzling,P AH Z L IH NG,pxzlIG,0.67,6
9529,issuance,IH SH UW AH N S,ISuxns,0.06,6
18251,triumphant,T R AY AH M F AH N T,trYxmfxnt,1.37,9
2491,capability,K EY P AH B IH L IH T IY,kepxbIlIti,1.37,10
13626,productivity,P R AA D AH K T IH V AH T IY,pradxktIvxti,0.57,12
16676,squelch,S K W EH L CH,skwElC,0.24,6
16586,spiritually,S P IH R IH CH AH W AH L IY,spIrICxwxli,1.08,11
6185,evoke,IH V OW K,Ivok,0.29,4
17177,suffocating,S AH F AH K EY T IH NG,sxfxketIG,1.47,9
672,antagonism,AE N T AE G IH N IH Z AH M,AntAgInIzxm,0.22,11
4480,definitive,D IH F IH N IH T IH V,dIfInItIv,1.94,9
8072,hatred,HH EY T R IH D,hetrId,5.41,6
8204,helpmate,HH EH L P M EY T,hElpmet,0.1,7
7862,gullibility,G AH L AH B IH L IH T IY,gxlxbIlIti,0.08,10
12770,perfunctory,P AH R F AH NG K T AH R IY,pxrfxGktxri,0.18,11
3135,closeup,K L OW S AH P,klosxp,0.12,6
10929,meter,M IY T AH R,mitxr,6.22,5
6940,foaming,F OW M IH NG,fomIG,0.49,5
9405,intractable,IH N T R AE K T AH B AH L,IntrAktxbxl,0.12,11
11863,obsolescent,AA B S AH L EH S AH N T,absxlEsxnt,0.02,10
4483,deformity,D IH F AO R M AH T IY,dIfcrmxti,0.41,9
4121,crossing,K R AO S IH NG,krcsIG,8.71,6
275,advertise,AE D V AH R T AY Z,AdvxrtYz,1.65,8
10380,lunch,L AH N CH,lxnC,104.12,4
19153,vibrate,V AY B R EY T,vYbret,1.1,6
2263,burdensome,B AH R D AH N S AH M,bxrdxnsxm,0.02,9
1871,bob,B AA B,bab,91.49,3
13286,pore,P OW R,por,0.47,3
1248,baleful,B EY L F AH L,belfxl,0.1,6
16367,solder,S AA D AH R,sadxr,0.04,5
14244,reasonably,R IY Z AH N AH B L IY,rizxnxbli,2.31,9
2694,celebrate,S EH L IH B R EY T,sElIbret,24.86,8
3953,coupon,K Y UW P AA N,kyupan,2.18,6
9387,interview,IH N T AH R V Y UW,Intxrvyu,29.51,8
4126,crouch,K R AW CH,krWC,0.75,4
5575,dysentery,D IH S AH N T EH R IY,dIsxntEri,0.9,9
3482,compute,K AH M P Y UW T,kxmpyut,0.71,7
2907,chinless,CH IH N L AH S,CInlxs,0.02,6
2308,busiest,B IH Z IY AH S T,bIzixst,0.86,7
627,anemic,AH N IY M IH K,xnimIk,0.63,6
2466,canoe,K AH N UW,kxnu,3.57,4
1395,bay,B EY,be,24.24,2
18432,unaccompanied,AH N AH K AH M P AH N IY D,xnxkxmpxnid,0.27,11
16983,streamliner,S T R IY M L AY N AH R,strimlYnxr,0.24,10
6145,evade,IH V EY D,Ived,0.88,4
1073,authorship,AO TH AH R SH IH P,cTxrSIp,0.1,7
1911,bombastic,B AA M B AE S T IH K,bambAstIk,0.22,9
16848,stereophonic,S T EH R IY AH F AA N IH K,stErixfanIk,0.1,11
17270,superstructure,S UW P AH R S T R AH K CH AH R,supxrstrxkCxr,0.27,13
3895,cosmetic,K AA Z M EH T IH K,kazmEtIk,1.8,8
8942,incredulity,IH N K R IH D UW L IH T IY,InkrIdulIti,0.04,11
852,armchair,AA R M CH EH R,armCEr,0.41,6
15096,royal,R OY AH L,rOxl,23.24,4
864,arousal,AH R AW Z AH L,xrWzxl,0.37,6
8807,impoverished,IH M P AA V AH R IH SH T,ImpavxrISt,0.57,10
16841,stepmother,S T EH P M AH DH AH R,stEpmxDxr,4.24,9
7226,frontage,F R AH N T IH JH,frxntIJ,0.2,7
6626,fester,F EH S T AH R,fEstxr,2.69,6
16613,spoof,S P UW F,spuf,0.24,4
10998,mike,M AY K,mYk,111.9,3
898,artisan,AA R T IH Z IH N,artIzIn,0.1,7
9001,indistinct,IH N D IH S T IH NG T,IndIstIGt,4.94,9
5664,educator,EH JH UH K EY T AH R,EJUketxr,0.47,8
15396,scholarly,S K AA L AH R L IY,skalxrli,0.43,8
18046,torture,T AO R CH AH R,tcrCxr,15.92,6
12719,penicillin,P EH N IH S IH L IH N,pEnIsIlIn,2.45,9
18619,unemotional,AH N AH M OW SH AH N AH L,xnxmoSxnxl,0.2,10
11560,nest,N EH S T,nEst,11.1,4
8036,hark,HH AA R K,hark,1.69,4
16507,spare,S P AE R,spAr,30.84,4
3308,combo,K AA M B OW,kambo,2.45,5
4239,customary,K AH S T AH M EH R IY,kxstxmEri,2.18,9
18400,typewriter,T AY P R AY T AH R,tYprYtxr,3.16,8
6841,flaxseed,F L AE K S IY D,flAksid,0.1,7
8976,indexing,IH N D EH K S IH NG,IndEksIG,0.1,8
17653,tend,T EH N D,tEnd,12.27,4
4149,crunch,K R AH N CH,krxnC,3.51,5
9586,jeweler,JH UW AH L AH R,Juxlxr,1.04,6
12320,padding,P AE D IH NG,pAdIG,0.96,5
15246,samba,S AA M B AH,sambx,0.57,5
3716,contender,K AH N T EH N D AH R,kxntEndxr,0.96,9
13102,platinum,P L AE T AH N AH M,plAtxnxm,2.41,8
4724,detour,D IY T UH R,ditUr,2.1,5
9212,insert,IH N S AH R T,Insxrt,2.76,6
615,ancestor,AE N S EH S T AH R,AnsEstxr,1.69,8
8228,hermetic,HH AH R M EH T IH K,hxrmEtIk,0.04,8
14362,redneck,R EH D N EH K,rEdnEk,1.76,6
735,appalling,AH P AO L IH NG,xpclIG,1.94,6
16736,standpoint,S T AE N D P OY N T,stAndpOnt,1.33,9
3534,conditioning,K AH N D IH SH AH N IH NG,kxndISxnIG,3.84,10
1920,bondsman,B AA N D Z M AH N,bandzmxn,0.51,8
9587,jewelry,JH UW AH L R IY,Juxlri,11.06,6
1928,booby,B UW B IY,bubi,2.53,4
15240,salutation,S AE L Y UW T EY SH IH N,sAlyuteSIn,0.12,10
19387,warren,W AO R AH N,wcrxn,14.78,5
8762,impeccably,IH M P EH K AH B L IY,ImpEkxbli,0.29,9
14710,resignation,R EH Z IH G N EY SH IH N,rEzIgneSIn,3.75,10
556,amid,AH M IH D,xmId,0.88,4
13892,purple,P AH R P AH L,pxrpxl,12.33,6
12756,perennial,P AH R EH N IY AH L,pxrEnixl,0.29,8
3316,comer,K AH M AH R,kxmxr,0.37,5
3504,concerning,K AH N S AH R N IH NG,kxnsxrnIG,4.9,9
11414,mutter,M AH T AH R,mxtxr,0.43,5
16002,silhouette,S IH L OW EH T,sIloEt,0.57,6
13953,quarrel,K W AO R AH L,kwcrxl,5.61,6
18418,ultimately,AH L T AH M AH T L IY,xltxmxtli,5.65,9
19015,valuable,V AE L Y UH B AH L,vAlyUbxl,15.59,8
6015,enzymatic,EH N Z AH M AE T IH K,EnzxmAtIk,0.06,9
7866,gum,G AH M,gxm,13.39,3
8218,herding,HH AH R D IH NG,hxrdIG,0.33,6
2959,chronological,K R AA N AH L AA JH IH K AH L,kranxlaJIkxl,0.33,12
14813,retriever,R IH T R IY V AH R,rItrivxr,0.75,8
6137,etymological,EH T AH M AH L AA JH IH K AH L,EtxmxlaJIkxl,0.02,12
18563,undersecretary,AH N D AH R S EH K R IH T EH R IY,xndxrsEkrItEri,0.43,14
71,abuse,AH B Y UW Z,xbyuz,10.25,5
11065,mirthless,M AH R TH L IH S,mxrTlIs,0.02,7
16293,snippy,S N IH P IY,snIpi,0.92,5
18888,unveil,AH N V EY L,xnvel,0.75,5
13644,profundity,P R AH F AH N D IH T IY,prxfxndIti,0.08,10
3773,convent,K AA N V EH N T,kanvEnt,3.33,7
6432,factory,F AE K T AH R IY,fAktxri,16.8,7
13909,pushing,P UH SH IH NG,pUSIG,19.18,5
3501,conception,K AH N S EH P SH IH N,kxnsEpSIn,2.08,9
9540,itinerary,AY T IH N AH R EH R IY,YtInxrEri,1.67,9
5526,duller,D AH L AH R,dxlxr,0.27,5
4119,crop,K R AA P,krap,4.86,4
15255,sanctimonious,S AE NG K T AH M OW N IY AH S,sAGktxmonixs,0.82,12
18925,uproar,AH P R OW R,xpror,1.04,5
595,anaesthesia,AE N IH S TH IY ZH AH,AnIsTiZx,0.29,8
4519,delinquency,D AH L IH NG K W AH N S IY,dxlIGkwxnsi,0.45,11
3732,continuity,K AA N T AH N UW IH T IY,kantxnuIti,0.69,10
6908,flowering,F L AW AH R IH NG,flWxrIG,0.27,7
9819,lab,L AE B,lAb,39.61,3
6237,exclusively,IH K S K L UW S IH V L IY,IksklusIvli,1.8,11
18246,triplet,T R IH P L IH T,trIplIt,0.04,7
7381,garrulous,G AE R AH L AH S,gArxlxs,0.1,7
5187,divert,D IH V AH R T,dIvxrt,2.02,6
10883,merit,M EH R IH T,mErIt,3.39,5
8613,identification,AY D EH N T IH F IH K EY SH IH N,YdEntIfIkeSIn,8.02,13
15479,scuff,S K AH F,skxf,0.45,4
3706,contaminate,K AH N T AE M AH N EY T,kxntAmxnet,0.71,10
16628,spouse,S P AW Z,spWz,1.9,4
18226,tribunal,T R AY B Y UW N AH L,trYbyunxl,1.08,9
13659,prohibition,P R OW AH B IH SH IH N,proxbISIn,1.2,9
6240,excretion,IH K S K R IY SH AH N,IkskriSxn,0.12,9
16436,sophisticated,S AH F IH S T IH K EY T IH D,sxfIstIketId,6.78,12
9074,inferior,IH N F IH R IY AH R,InfIrixr,3.06,8
8689,illusory,IH L UW S AH R IY,Ilusxri,0.04,7
19803,wrangle,R AE NG G AH L,rAGgxl,0.35,6
1340,barrel,B AE R AH L,bArxl,10.63,5
14872,rhododendron,R OW D AH D EH N D R AH N,rodxdEndrxn,0.06,11
9690,juxtapose,JH AH K S T AH P OW Z,Jxkstxpoz,0.06,9
5144,distiller,D IH S T IH L AH R,dIstIlxr,0.06,8
12834,pert,P AH R T,pxrt,0.49,4
18511,unconditioned,AH N K AH N D IH SH AH N D,xnkxndISxnd,0.02,11
1316,barest,B EH R AH S T,bErxst,0.1,6
7262,function,F AH NG K SH IH N,fxGkSIn,11.08,7
7642,gracias,G R AA S IY AH S,grasixs,4.47,7
11062,miraculous,M AH R AE K Y UH L AH S,mxrAkyUlxs,2.1,10
10013,legislature,L EH JH IH S L EY CH AH R,lEJIsleCxr,0.78,10
10457,maid,M EY D,med,22.82,3
16912,stoicism,S T OW AH S IH Z AH M,stoxsIzxm,0.12,9
17245,sup,S AH P,sxp,0.92,3
11921,official,AH F IH SH AH L,xfISxl,24.0,6
4492,degenerate,D IH JH EH N AH R EY T,dIJEnxret,1.82,9
1133,await,AH W EY T,xwet,3.55,4
15737,shack,SH AE K,SAk,5.65,3
162,action,AE K SH IH N,AkSIn,61.08,5
1328,barnyard,B AA R N Y AA R D,barnyard,0.88,8
10136,lilac,L AY L AH K,lYlxk,0.76,5
5054,disjoint,D IH S JH OY N T,dIsJOnt,0.04,7
2695,celebration,S EH L IH B R EY SH IH N,sElIbreSIn,9.88,10
12196,overconfident,OW V AH R K AA N F IH D AH N T,ovxrkanfIdxnt,0.25,13
6535,fatten,F AE T AH N,fAtxn,0.45,5
1234,baker,B EY K AH R,bekxr,13.69,5
5807,embodiment,EH M B AA D IY M AH N T,Embadimxnt,0.57,10
905,asbestos,AE S B EH S T AH S,AsbEstxs,1.29,8
10165,linguistic,L IH NG G W IH S T IH K,lIGgwIstIk,0.35,10
1087,automobile,AO T AH M OW B IY L,ctxmobil,5.71,8
7,abbreviation,AH B R IY V IY EY SH IH N,xbrivieSIn,0.24,10
29,abode,AH B OW D,xbod,0.65,4
18627,unequaled,AH N IY K W AH L D,xnikwxld,0.08,8
16892,stint,S T IH N T,stInt,0.75,5
14260,rebuild,R IY B IH L D,ribIld,3.37,6
2474,cantaloupe,K AE N T AH L OW P,kAntxlop,0.75,8
283,adviser,AE D V AY Z AH R,AdvYzxr,1.04,7
14031,rabbi,R AE B AY,rAbY,6.71,4
4343,deaden,D EH D AH N,dEdxn,0.16,5
14353,redefinition,R IY D EH F AH N IH SH AH N,ridEfxnISxn,0.04,11
2051,brassiere,B R IH Z IH R,brIzIr,0.53,6
16632,spray,S P R EY,spre,9.65,4
1130,avoid,AH V OY D,xvOd,24.29,4
17105,subside,S AH B S AY D,sxbsYd,0.39,6
10512,maltreat,M AE L T R IY T,mAltrit,0.04,7
